Thu Apr 10 20:18:29 2025 | Prediction: 1 | URL: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
Thu Apr 10 20:53:57 2025 | Prediction: 1 | URL: https://www.google.com/search?q=skillrack&rlz=1C1RXQR_en-GBIN1105IN1109&oq=skill&gs_lcrp=EgZjaHJvbWUqCggAEAAYsQMYgAQyCggAEAAYsQMYgAQyBggBEEUYOTIKCAIQABixAxiABDIKCAMQABixAxiABDINCAQQABiDARixAxiABDIQCAUQLhjHARixAxjRAxiABDIKCAYQABixAxiABDIKCAcQABixAxiABDITCAgQLhivARjHARixAxiABBiOBTIKCAkQABixAxiABNIBCTU2NzdqMGoxNagCCLACAfEFFY2PHoBUb-s&sourceid=chrome&ie=UTF-8
Fri Apr 11 12:36:05 2025 | Prediction: 1 | URL: https://www.google.com/search?gs_ssp=eJzj4tLP1TcwMre0KKowYPSSLC7Ry8ovTi3IUEjOz8lJTU9VSM5IzctLzAQA7MsM9w&q=st.joseph+college+chennai&rlz=1C1RXQR_en-GBIN1105IN1109&oq=st.jo&gs_lcrp=EgZjaHJvbWUqBwgCEC4YgAQyBggAEEUYOjIGCAEQRRg5MgcIAhAuGIAEMgcIAxAAGIAE0gEINDE2OGowajeoAgCwAgA&sourceid=chrome&ie=UTF-8&sei=Ur_4Z7yeA9Tj1e8P0u2viAs
Fri Apr 11 12:36:20 2025 | Prediction: 1 | URL: https://stjosephs.ac.in/index.html
Fri Apr 11 12:40:58 2025 | Prediction: 1 | URL: https://www.google.com/search?q=st+joseph%27s+college+of+engineering&oq=st&gs_lcrp=EgZjaHJvbWUqDwgAEAAYQxjjAhiABBiKBTIPCAAQABhDGOMCGIAEGIoFMgwIARAuGEMYgAQYigUyEggCEC4YQxjHARjRAxiABBiKBTIMCAMQLhhDGIAEGIoFMgwIBBAuGEMYgAQYigUyDAgFEAAYQxiABBiKBTIGCAYQRRg8MgYIBxBFGDzSAQgxOTk3ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8
Fri Apr 11 12:41:10 2025 | Prediction: 1 | URL: https://stjosephs.ac.in/index.html
[Fri Apr 11 14:35:21 2025] PHISHING DETECTED: https://www.google.com/search?q=st+joseph%27s+college+of+engineering&rlz=1C1RXQR_en-GBIN1105IN1109&oq=&gs_lcrp=EgZjaHJvbWUqCQgAEEUYOxjCAzIJCAAQRRg7GMIDMgkIARBFGDsYwgMyEQgCEAAYAxhCGI8BGLQCGOoCMhEIAxAAGAMYQhiPARi0AhjqAjIRCAQQABgDGEIYjwEYtAIY6gIyEQgFEAAYAxhCGI8BGLQCGOoCMhEIBhAAGAMYQhiPARi0AhjqAjIRCAcQABgDGEIYjwEYtAIY6gLSAQ00MTUwMzg3ODBqMGo3qAIIsAIB8QXZqVUXdWpzPvEF2alVF3Vqcz4&sourceid=chrome&ie=UTF-8
[Fri Apr 11 14:39:16 2025] PHISHING DETECTED: https://stjosephs.ac.in/index.html
[Fri Apr 11 14:43:14 2025] PHISHING DETECTED: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
[Sat Apr 12 10:21:31 2025] PHISHING DETECTED: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
[Sat Apr 12 10:24:20 2025] PHISHING DETECTED: https://caniphish.com/free-phishing-test/phishing-website-templates#signupForm
